Name;Time;X;Y
BadJoe;85;6,0;-2,0
counter1;86;10,0;10,0
DLH123;86;20,0;20,0
jim;86;-264,4041709540124;304,2051555105602
johnMclain;86;-592,5172682090866;596,506205475505
LuckyLuke;86;-616,1120146620502;620,0208769316762
soc;86;-50,0;-50,0
BadJoe;86;6,0;-2,0
counter1;87;10,0;10,0
DLH123;87;20,0;20,0
jim;87;-267,93846719304776;307,74192665027795
johnMclain;87;-599,588270670771;603,5773386369476
LuckyLuke;87;-623,1825644708324;627,0924627086806
soc;87;-50,0;-50,0
BadJoe;87;6,0;-2,0
counter1;88;10,0;10,0
DLH123;88;20,0;20,0
jim;88;-271,4727938417297;311,2786674013674
johnMclain;88;-606,6592746585807;610,6484702722928
LuckyLuke;88;-630,2531259240196;634,1640368429667
soc;88;-50,0;-50,0
BadJoe;88;6,0;-2,0
counter1;89;10,0;10,0
DLH123;89;20,0;20,0
jim;89;-275,0071497928454;314,8153788697816
johnMclain;89;-613,7302801196732;617,7196004343814
LuckyLuke;89;-637,3236986333326;641,235599722721
soc;89;-50,0;-50,0
BadJoe;89;6,0;-2,0
counter1;90;10,0;10,0
DLH123;90;20,0;20,0
jim;90;-278,5415339922917;318,3520621084537
johnMclain;90;-620,8012870036179;624,7907291736427
LuckyLuke;90;-644,3942822275649;648,3071517190633
soc;90;-50,0;-50,0
BadJoe;90;6,0;-2,0
counter1;91;10,0;10,0
DLH123;91;20,0;20,0
jim;91;-282,0759454359283;321,888718120436
johnMclain;91;-627,8722952622594;631,8618565382305
LuckyLuke;91;-651,4648763516552;655,3786931869739
soc;91;-50,0;-50,0
BadJoe;91;6,0;-2,0
counter1;92;10,0;10,0
DLH123;92;20,0;20,0
jim;92;-285,61038316665207;325,42534786181926
johnMclain;92;-634,9433048495915;638,93298257415
LuckyLuke;92;-658,535480665819;662,4502244661616
soc;92;-50,0;-50,0
BadJoe;92;6,0;-2,0
counter1;93;10,0;10,0
DLH123;93;20,0;20,0
jim;93;-289,1448462716745;328,9619522444489
johnMclain;93;-642,0143157216382;646,0041073253757
LuckyLuke;93;-665,6060948447354;669,521745881876
soc;93;-50,0;-50,0
BadJoe;93;6,0;-2,0
counter1;94;10,0;10,0
DLH123;94;20,0;20,0
jim;94;-292,6793338799863;332,49853213845535
johnMclain;94;-649,0853278363429;653,0752308339632
LuckyLuke;94;-672,6767185767857;676,5932577456691
soc;94;-50,0;-50,0
BadJoe;94;6,0;-2,0
counter1;95;10,0;10,0
DLH123;95;20,0;20,0
jim;95;-296,2138451599939;336,0350883746121
johnMclain;95;-656,1563411534648;660,1463531401523
LuckyLuke;95;-679,7473515633396;683,6647603561088
soc;95;-50,0;-50,0
BadJoe;95;6,0;-2,0
counter1;96;10,0;10,0
DLH123;96;20,0;20,0
jim;96;-299,7483793173148;339,5716217465361
johnMclain;96;-663,2273556344823;667,2174742824636
LuckyLuke;96;-686,8179935180858;690,7362539994477
soc;96;-50,0;-50,0
BadJoe;96;6,0;-2,0
counter1;97;10,0;10,0
DLH123;97;20,0;20,0
jim;97;-303,28293559271896;343,108133012742
johnMclain;97;-670,2983712425015;674,2885942977899
LuckyLuke;97;-693,8886441664024;697,8077389502527
soc;97;-50,0;-50,0
BadJoe;97;6,0;-2,0
counter1;98;10,0;10,0
DLH123;98;20,0;20,0
jim;98;-306,8175132602057;346,64462289856147
johnMclain;98;-677,3693879421719;681,3597132214811
LuckyLuke;98;-700,9593032447672;704,8792154719939
soc;98;-50,0;-50,0
BadJoe;98;6,0;-2,0
counter1;99;10,0;10,0
DLH123;99;20,0;20,0
jim;99;-310,3521116252055;350,1810920979383
johnMclain;99;-684,4404056996059;688,4308310874238
LuckyLuke;99;-708,0299705002019;711,950683817601
soc;99;-50,0;-50,0
BadJoe;99;6,0;-2,0
